
2024/09/09 (21:37:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/10 (10:38:55) | ===> btop++ v.1.3.2
2024/09/10 (10:38:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (09:52:59) | ===> btop++ v.1.3.2
2024/09/14 (09:52:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (09:55:07) | ===> btop++ v.1.3.2
2024/09/14 (09:55:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:02:28) | ===> btop++ v.1.3.2
2024/09/14 (10:02:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:03:21) | ===> btop++ v.1.3.2
2024/09/14 (10:03:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:04:53) | ===> btop++ v.1.3.2
2024/09/14 (10:04:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:06:01) | ===> btop++ v.1.3.2
2024/09/14 (10:06:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:06:11) | ===> btop++ v.1.3.2
2024/09/14 (10:06:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:06:30) | ===> btop++ v.1.3.2
2024/09/14 (10:06:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:07:03) | ===> btop++ v.1.3.2
2024/09/14 (10:07:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:07:11) | ===> btop++ v.1.3.2
2024/09/14 (10:07:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:07:58) | ===> btop++ v.1.3.2
2024/09/14 (10:07:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:08:10) | ===> btop++ v.1.3.2
2024/09/14 (10:08:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:11:52) | ===> btop++ v.1.3.2
2024/09/14 (10:11:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:14:00) | ===> btop++ v.1.3.2
2024/09/14 (10:14:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:14:39) | ===> btop++ v.1.3.2
2024/09/14 (10:14:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:15:25) | ===> btop++ v.1.3.2
2024/09/14 (10:15:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:15:46) | ===> btop++ v.1.3.2
2024/09/14 (10:15:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:17:16) | ===> btop++ v.1.3.2
2024/09/14 (10:17:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:18:26) | ===> btop++ v.1.3.2
2024/09/14 (10:18:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:18:55) | ===> btop++ v.1.3.2
2024/09/14 (10:18:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:20:15) | ===> btop++ v.1.3.2
2024/09/14 (10:20:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:22:34) | ===> btop++ v.1.3.2
2024/09/14 (10:22:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:24:30) | ===> btop++ v.1.3.2
2024/09/14 (10:24:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:25:26) | ===> btop++ v.1.3.2
2024/09/14 (10:25:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:25:44) | ===> btop++ v.1.3.2
2024/09/14 (10:25:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:26:19) | ===> btop++ v.1.3.2
2024/09/14 (10:26:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:26:44) | ===> btop++ v.1.3.2
2024/09/14 (10:26:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:27:44) | ===> btop++ v.1.3.2
2024/09/14 (10:27:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:28:25) | ===> btop++ v.1.3.2
2024/09/14 (10:28:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:29:06) | ===> btop++ v.1.3.2
2024/09/14 (10:29:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:29:20) | ===> btop++ v.1.3.2
2024/09/14 (10:29:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:31:02) | ===> btop++ v.1.3.2
2024/09/14 (10:31:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:31:55) | ===> btop++ v.1.3.2
2024/09/14 (10:31:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:33:06) | ===> btop++ v.1.3.2
2024/09/14 (10:33:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:33:25) | ===> btop++ v.1.3.2
2024/09/14 (10:33:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/09/14 (10:33:49) | ===> btop++ v.1.3.2
2024/09/14 (10:33:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

